Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Steven Adams,C,26,OKC,58,58,1564,262,443,0.591,1,3,0.333,261,440,0.593,0.593,108,183,0.59,196,347,543,141,50,65,86,111,633
Bam Adebayo,PF,22,MIA,65,65,2235,408,719,0.567,1,13,0.077,407,706,0.576,0.568,236,342,0.69,165,518,683,333,78,85,185,164,1053
LaMarcus Aldridge,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.827,103,289,392,129,36,87,74,128,1001
Nickeil Alexander-Walker,SG,21,NOP,41,0,501,77,227,0.339,40,117,0.342,37,110,0.336,0.427,17,28,0.607,8,72,80,74,11,7,40,46,211
Grayson Allen,SG,24,MEM,30,0,498,79,176,0.449,33,91,0.363,46,85,0.541,0.543,30,35,0.857,5,61,66,43,6,1,23,36,221
Jarrett Allen,C,21,BRK,64,58,1647,267,413,0.646,0,5,0,267,408,0.654,0.646,147,237,0.62,195,410,605,85,37,85,72,144,681
Kadeem Allen,SG,27,NYK,10,0,117,19,44,0.432,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,0.291,9,36,0.25,16,50,0.32,0.343,19,29,0.655,24,63,87,21,18,8,17,27,78
Justin Anderson,SF,26,BRK,3,0,17,1,6,0.167,0,3,0,1,3,0.333,0.167,1,2,0.5,0,2,2,0,0,1,0,2,3
Kyle Anderson,PF,26,MEM,59,20,1140,138,280,0.493,16,62,0.258,122,218,0.56,0.521,43,66,0.652,54,203,257,132,46,31,55,85,335
Ryan Anderson,PF,31,HOU,2,0,14,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,57,57,1763,623,1139,0.547,83,271,0.306,540,868,0.622,0.583,361,570,0.633,130,653,783,329,59,58,209,173,1690
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,18,2,93,19,36,0.528,0,7,0,19,29,0.655,0.528,7,15,0.467,11,8,19,9,6,2,11,13,45
Carmelo Anthony,PF,35,POR,50,50,1623,289,679,0.426,72,194,0.371,217,485,0.447,0.479,113,134,0.843,61,252,313,79,40,23,87,142,763
OG Anunoby,SF,22,TOR,63,62,1897,267,527,0.507,82,215,0.381,185,312,0.593,0.584,59,86,0.686,74,267,341,99,88,42,75,155,675
Ryan Arcidiacono,PG,25,CHI,58,4,930,90,220,0.409,54,138,0.391,36,82,0.439,0.532,27,38,0.711,20,90,110,96,27,3,37,96,261
Trevor Ariza,SF,34,TOT,53,21,1493,142,324,0.438,77,207,0.372,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423
Trevor Ariza,SF,34,SAC,32,0,791,64,165,0.388,43,122,0.352,21,43,0.488,0.518,21,27,0.778,21,125,146,50,35,7,28,63,192
Trevor Ariza,SF,34,POR,21,21,702,78,159,0.491,34,85,0.4,44,74,0.595,0.597,41,47,0.872,13,87,100,41,34,8,28,48,231
D.J. Augustin,PG,32,ORL,49,6,1215,156,397,0.393,60,174,0.345,96,223,0.43,0.469,139,157,0.885,18,91,109,223,30,1,69,53,511
Deandre Ayton,C,21,PHO,30,25,996,255,465,0.548,0,3,0,255,462,0.552,0.548,60,78,0.769,123,237,360,57,22,51,71,97,570
Dwayne Bacon,SG,24,CHO,39,11,687,85,244,0.348,19,67,0.284,66,177,0.373,0.387,35,53,0.66,15,85,100,52,23,2,37,52,224
